"time","mean_Ch1_Ch2_Trial_1_modified","mean_Ch3_Ch4_Trial_1_modified","mean_Ch1_Ch2_Trial_2_modified","mean_Ch3_Ch4_Trial_2_modified","mean_Ch1_Ch2_Trial_3_modified","mean_Ch3_Ch4_Trial_3_modified","mean_Ch1_Ch2_Trial_4_modified","mean_Ch3_Ch4_Trial_4_modified","mean_Ch1_Ch2_Trial_5_modified","mean_Ch3_Ch4_Trial_5_modified","mean_Ch1_Ch2_Trial_6_modified","mean_Ch3_Ch4_Trial_6_modified","mean_Ch1_Ch2_Trial_7_modified","mean_Ch3_Ch4_Trial_7_modified","mean_Ch1_Ch2_Trial_8_modified","mean_Ch3_Ch4_Trial_8_modified","mean_Ch1_Ch2_Trial_9_modified","mean_Ch3_Ch4_Trial_9_modified","mean_Ch1_Ch2_Trial_10_modified","mean_Ch3_Ch4_Trial_10_modified"
15.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.564,NA,NA,NA,NA,NA,NA,NA,NA
15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.35,NA,NA,NA,0.482666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.4,NA,NA,NA,0.482666666666667,NA,NA,NA,0.808666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.826,NA
15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.238333333333333,NA,NA
15.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.6,NA,NA,0.378333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.617,NA,NA,NA,NA
15.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.7,NA,NA,NA,NA,NA,NA,NA,NA,1.14633333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.85,NA,NA,NA,NA,NA,NA,2.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.971333333333333,NA,NA,NA,NA,NA,NA
15.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.570333333333333,NA,NA,NA,NA,0.279333333333333,NA,NA,NA
16.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.652,NA,NA,NA,NA,NA
16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.709666666666667,NA,NA,2.525,NA,NA,NA,NA,NA,NA,NA
16.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16.3,NA,NA,NA,NA,NA,2.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA
16.45,NA,NA,NA,NA,1.943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
