"Time (s) Run #1";"Angle, Ch 1+2 (rad) Run #1";"Angle, Ch 3+4 (rad) Run #1";"Output Voltage (V) Run #1";"Output Current (A) Run #1";"Time (s) Run #2";"Angle, Ch 1+2 (rad) Run #2";"Angle, Ch 3+4 (rad) Run #2";"Output Voltage (V) Run #2";"Output Current (A) Run #2";"Time (s) Run #3";"Angle, Ch 1+2 (rad) Run #3";"Angle, Ch 3+4 (rad) Run #3";"Output Voltage (V) Run #3";"Output Current (A) Run #3";"Time (s) Run #4";"Angle, Ch 1+2 (rad) Run #4";"Angle, Ch 3+4 (rad) Run #4";"Output Voltage (V) Run #4";"Output Current (A) Run #4";"Time (s) Run #5";"Angle, Ch 1+2 (rad) Run #5";"Angle, Ch 3+4 (rad) Run #5";"Output Voltage (V) Run #5";"Output Current (A) Run #5";"Time (s) Run #6";"Angle, Ch 1+2 (rad) Run #6";"Angle, Ch 3+4 (rad) Run #6";"Output Voltage (V) Run #6";"Output Current (A) Run #6";"Time (s) Run #7";"Angle, Ch 1+2 (rad) Run #7";"Angle, Ch 3+4 (rad) Run #7";"Output Voltage (V) Run #7";"Output Current (A) Run #7";"Time (s) Run #8";"Angle, Ch 1+2 (rad) Run #8";"Angle, Ch 3+4 (rad) Run #8";"Output Voltage (V) Run #8";"Output Current (A) Run #8";"Time (s) Run #9";"Angle, Ch 1+2 (rad) Run #9";"Angle, Ch 3+4 (rad) Run #9";"Output Voltage (V) Run #9";"Output Current (A) Run #9";"Time (s) Run #10";"Angle, Ch 1+2 (rad) Run #10";"Angle, Ch 3+4 (rad) Run #10";"Output Voltage (V) Run #10";"Output Current (A) Run #10"
1,400;-4,084;-0,017;-0,005;0,006;1,400;-5,044;-0,017;-0,006;0,006;1,400;-0,070;0,000;-0,006;0,006;1,400;-6,039;-0,017;-0,006;0,006;1,400;-4,800;-0,017;-0,006;0,006;1,400;3,072;0,000;-0,006;0,006;1,400;3,543;0,000;-0,006;0,006;1,400;-0,244;-0,017;-0,006;0,006;1,400;2,688;0,000;-0,006;0,006;1,400;-5,969;-0,017;-0,006;0,006
1,450;-3,665;-0,017;-0,005;0,006;1,450;-4,835;-0,017;-0,006;0,006;1,450;-0,297;0,000;-0,006;0,006;1,450;-6,109;-0,017;-0,006;0,006;1,450;-4,363;-0,017;-0,006;0,006;1,450;4,032;0,000;-0,006;0,006;1,450;4,206;0,000;-0,006;0,006;1,450;0,628;0,000;-0,006;0,006;1,450;3,421;0,000;-0,006;0,006;1,450;-5,969;-0,017;-0,006;0,006
1,500;-3,072;-0,017;-0,005;0,006;1,500;-4,398;-0,017;-0,006;0,006;1,500;-0,646;0,000;-0,006;0,006;1,500;-5,864;-0,017;-0,006;0,006;1,500;-3,752;-0,017;-0,006;0,006;1,500;4,765;0,000;-0,006;0,006;1,500;4,643;0,000;-0,006;0,006;1,500;1,484;0,000;-0,006;0,006;1,500;3,997;0,000;-0,006;0,006;1,500;-5,672;-0,017;-0,006;0,006
1,550;-2,339;-0,017;-0,006;0,006;1,550;-3,752;-0,017;-0,006;0,006;1,550;-1,187;0,000;-0,006;0,006;1,550;-5,376;-0,017;-0,006;0,006;1,550;-2,950;-0,017;-0,006;0,006;1,550;5,219;0,000;-0,006;0,006;1,550;4,800;0,000;-0,006;0,006;1,550;2,234;0,000;-0,006;0,006;1,550;4,346;0,000;-0,006;0,006;1,550;-5,114;-0,017;-0,006;0,006
1,600;-1,484;-0,017;-0,005;0,006;1,600;-2,950;-0,017;-0,006;0,006;1,600;-2,042;-0,017;-0,006;0,006;1,600;-4,625;-0,017;-0,006;0,006;1,600;-2,025;-0,017;-0,006;0,006;1,600;5,376;0,000;-0,006;0,006;1,600;4,695;0,000;-0,006;0,006;1,600;2,880;0,000;-0,006;0,006;1,600;4,503;0,000;-0,006;0,006;1,600;-4,346;-0,017;-0,006;0,006
1,650;-0,576;-0,017;-0,006;0,006;1,650;-1,990;-0,017;-0,006;0,006;1,650;-3,072;-0,017;-0,006;0,006;1,650;-3,665;-0,017;-0,006;0,006;1,650;-1,012;-0,017;-0,006;0,006;1,650;5,236;0,000;-0,006;0,006;1,650;4,328;0,000;-0,006;0,006;1,650;3,351;0,000;-0,006;0,006;1,650;4,416;0,000;-0,006;0,006;1,650;-3,351;-0,017;-0,006;0,006
1,700;0,332;0,000;-0,005;0,006;1,700;-0,960;-0,017;-0,006;0,006;1,700;-3,927;-0,017;-0,006;0,006;1,700;-2,548;-0,017;-0,006;0,006;1,700;0,035;-0,017;-0,006;0,006;1,700;4,835;0,000;-0,006;0,006;1,700;3,770;0,000;-0,006;0,006;1,700;3,648;0,000;-0,006;0,006;1,700;4,119;0,000;-0,006;0,006;1,700;-2,234;-0,017;-0,006;0,006
1,750;1,222;0,000;-0,005;0,006;1,750;0,105;-0,017;-0,006;0,006;1,750;-4,608;-0,017;-0,006;0,006;1,750;-1,309;-0,017;-0,006;0,006;1,750;1,047;0,000;-0,006;0,006;1,750;4,189;0,000;-0,006;0,006;1,750;3,019;0,000;-0,006;0,006;1,750;3,752;0,000;-0,006;0,006;1,750;3,630;0,000;-0,006;0,006;1,750;-1,012;-0,017;-0,006;0,006
1,800;2,042;0,000;-0,006;0,006;1,800;1,152;0,000;-0,006;0,006;1,800;-5,044;-0,017;-0,006;0,006;1,800;-0,035;-0,017;-0,006;0,006;1,800;2,007;0,000;-0,006;0,006;1,800;3,368;0,000;-0,006;0,006;1,800;2,147;0,000;-0,006;0,006;1,800;3,665;0,000;-0,006;0,006;1,800;2,967;0,000;-0,006;0,006;1,800;0,262;-0,017;-0,006;0,006
1,850;2,758;0,000;-0,006;0,006;1,850;2,129;0,000;-0,006;0,006;1,850;-5,219;-0,017;-0,006;0,006;1,850;1,239;0,000;-0,006;0,006;1,850;2,845;0,000;-0,006;0,006;1,850;2,391;0,000;-0,006;0,006;1,850;1,187;0,000;-0,006;0,006;1,850;3,386;0,000;-0,006;0,006;1,850;2,164;0,000;-0,006;0,006;1,850;1,484;0,000;-0,006;0,006
