"Time (s) Run #1";"Angle, Ch 1+2 (rad) Run #1";"Angle, Ch 3+4 (rad) Run #1";"Output Voltage (V) Run #1";"Output Current (A) Run #1";"Time (s) Run #2";"Angle, Ch 1+2 (rad) Run #2";"Angle, Ch 3+4 (rad) Run #2";"Output Voltage (V) Run #2";"Output Current (A) Run #2";"Time (s) Run #3";"Angle, Ch 1+2 (rad) Run #3";"Angle, Ch 3+4 (rad) Run #3";"Output Voltage (V) Run #3";"Output Current (A) Run #3";"Time (s) Run #4";"Angle, Ch 1+2 (rad) Run #4";"Angle, Ch 3+4 (rad) Run #4";"Output Voltage (V) Run #4";"Output Current (A) Run #4";"Time (s) Run #5";"Angle, Ch 1+2 (rad) Run #5";"Angle, Ch 3+4 (rad) Run #5";"Output Voltage (V) Run #5";"Output Current (A) Run #5";"Time (s) Run #6";"Angle, Ch 1+2 (rad) Run #6";"Angle, Ch 3+4 (rad) Run #6";"Output Voltage (V) Run #6";"Output Current (A) Run #6";"Time (s) Run #7";"Angle, Ch 1+2 (rad) Run #7";"Angle, Ch 3+4 (rad) Run #7";"Output Voltage (V) Run #7";"Output Current (A) Run #7";"Time (s) Run #8";"Angle, Ch 1+2 (rad) Run #8";"Angle, Ch 3+4 (rad) Run #8";"Output Voltage (V) Run #8";"Output Current (A) Run #8";"Time (s) Run #9";"Angle, Ch 1+2 (rad) Run #9";"Angle, Ch 3+4 (rad) Run #9";"Output Voltage (V) Run #9";"Output Current (A) Run #9";"Time (s) Run #10";"Angle, Ch 1+2 (rad) Run #10";"Angle, Ch 3+4 (rad) Run #10";"Output Voltage (V) Run #10";"Output Current (A) Run #10"
1,800;2,304;0,000;-0,005;0,006;1,800;0,681;0,000;-0,005;0,006;1,800;-0,227;0,000;-0,005;0,006;1,800;2,059;0,000;-0,005;0,006;1,800;-0,855;0,000;-0,005;0,006;1,800;1,152;0,000;-0,005;0,006;1,800;-3,927;0,000;-0,005;0,006;1,800;2,915;0,000;-0,005;0,006;1,800;3,386;0,000;-0,005;0,006;1,800;1,326;0,000;-0,005;0,006
1,850;2,199;0,000;-0,005;0,006;1,850;0,279;0,000;-0,005;0,006;1,850;-0,646;0,000;-0,005;0,006;1,850;1,937;0,000;-0,005;0,006;1,850;-1,204;0,000;-0,005;0,006;1,850;0,698;0,000;-0,005;0,006;1,850;-3,805;0,000;-0,005;0,006;1,850;2,391;0,000;-0,005;0,006;1,850;2,985;0,000;-0,005;0,006;1,850;2,112;0,000;-0,005;0,006
1,900;1,990;0,000;-0,005;0,006;1,900;-0,122;0,000;-0,005;0,006;1,900;-1,012;0,000;-0,005;0,006;1,900;1,710;0,000;-0,005;0,006;1,900;-1,484;-0,017;-0,005;0,006;1,900;0,227;0,000;-0,005;0,006;1,900;-3,491;0,000;-0,005;0,006;1,900;1,745;0,000;-0,005;0,006;1,900;2,443;0,000;-0,005;0,006;1,900;2,793;0,000;-0,005;0,006
1,950;1,710;0,000;-0,005;0,006;1,950;-0,506;0,000;-0,005;0,006;1,950;-1,309;-0,017;-0,005;0,006;1,950;1,396;0,000;-0,005;0,006;1,950;-1,693;-0,017;-0,005;0,006;1,950;-0,227;0,000;-0,005;0,006;1,950;-3,019;0,000;-0,005;0,006;1,950;1,030;0,000;-0,005;0,006;1,950;1,780;0,000;-0,006;0,006;1,950;3,334;0,000;-0,005;0,006
2,000;1,344;0,000;-0,005;0,006;2,000;-0,838;-0,017;-0,005;0,006;2,000;-1,501;-0,017;-0,005;0,006;2,000;1,030;0,000;-0,005;0,006;2,000;-1,798;-0,017;-0,005;0,006;2,000;-0,646;0,000;-0,005;0,006;2,000;-2,409;0,000;-0,005;0,006;2,000;0,262;0,000;-0,005;0,006;2,000;1,047;0,000;-0,006;0,006;2,000;3,683;0,000;-0,005;0,006
2,050;0,942;0,000;-0,005;0,006;2,050;-1,117;-0,017;-0,005;0,006;2,050;-1,606;-0,017;-0,005;0,006;2,050;0,611;0,000;-0,005;0,006;2,050;-1,833;-0,017;-0,005;0,006;2,050;-1,012;0,000;-0,005;0,006;2,050;-1,693;0,000;-0,005;0,006;2,050;-0,524;0,000;-0,005;0,006;2,050;0,244;0,000;-0,005;0,006;2,050;3,857;0,000;-0,005;0,006
2,100;0,506;0,000;-0,005;0,006;2,100;-1,309;-0,017;-0,005;0,006;2,100;-1,588;-0,017;-0,005;0,006;2,100;0,175;0,000;-0,005;0,006;2,100;-1,763;-0,017;-0,005;0,006;2,100;-1,309;0,000;-0,005;0,006;2,100;-0,890;0,000;-0,005;0,006;2,100;-1,274;0,000;-0,005;0,006;2,100;-0,559;0,000;-0,005;0,006;2,100;3,822;0,000;-0,005;0,006
2,150;0,052;0,000;-0,005;0,006;2,150;-1,431;-0,017;-0,005;0,006;2,150;-1,484;-0,017;-0,005;0,006;2,150;-0,279;0,000;-0,005;0,006;2,150;-1,606;-0,017;-0,005;0,006;2,150;-1,518;-0,017;-0,005;0,006;2,150;-0,070;0,017;-0,005;0,006;2,150;-1,972;-0,017;-0,005;0,006;2,150;-1,326;0,000;-0,005;0,006;2,150;3,595;0,000;-0,005;0,006
2,200;-0,384;0,000;-0,005;0,006;2,200;-1,466;-0,017;-0,005;0,006;2,200;-1,274;-0,017;-0,005;0,006;2,200;-0,698;0,000;-0,005;0,006;2,200;-1,379;-0,017;-0,005;0,006;2,200;-1,641;-0,017;-0,005;0,006;2,200;0,750;0,017;-0,005;0,006;2,200;-2,548;-0,017;-0,005;0,006;2,200;-2,025;-0,017;-0,005;0,006;2,200;3,194;0,000;-0,005;0,006
2,250;-0,785;0,000;-0,005;0,006;2,250;-1,396;-0,017;-0,005;0,006;2,250;-1,012;-0,017;-0,005;0,006;2,250;-1,082;0,000;-0,005;0,006;2,250;-1,100;-0,017;-0,005;0,006;2,250;-1,641;-0,017;-0,006;0,006;2,250;1,518;0,017;-0,005;0,006;2,250;-3,002;-0,017;-0,005;0,006;2,250;-2,618;-0,017;-0,005;0,006;2,250;2,635;0,000;-0,005;0,006
